"filename", "language", "JavaScript", "Vue", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"d:\征信git\data_center_page\data_center_page\src\views\manage\powerCenter\userManage.vue", "Vue", 0, 315, 0, 0, 0, 0, 6, 9, 330
"d:\征信git\data_center_page\data_center_page\src\views\manage\propertyCenter\dataMap.vue", "Vue", 0, 283, 0, 0, 0, 0, 1, 9, 293
"d:\征信git\data_center_page\data_center_page\src\views\manage\quotaCenter\components\graphNode.vue", "Vue", 0, 71, 0, 0, 0, 0, 2, 2, 75
"d:\征信git\data_center_page\data_center_page\src\views\manage\quotaCenter\graphTest.vue", "Vue", 0, 511, 0, 0, 0, 0, 30, 12, 553
"d:\征信git\data_center_page\data_center_page\src\views\manage\quotaManage\decorationWords.vue", "Vue", 0, 245, 0, 0, 0, 0, 4, 7, 256
"d:\征信git\data_center_page\data_center_page\src\views\manage\quotaManage\derivativeWords.vue", "Vue", 0, 255, 0, 0, 0, 0, 6, 6, 267
"d:\征信git\data_center_page\data_center_page\src\views\manage\quotaManage\quotaDomain.vue", "Vue", 0, 202, 0, 0, 0, 0, 4, 7, 213
"d:\征信git\data_center_page\data_center_page\src\views\manage\quotaManage\timeCycle.vue", "Vue", 0, 209, 0, 0, 0, 0, 4, 7, 220
"d:\征信git\data_center_page\data_center_page\src\views\manage\securityCenter\dataDesensitization.vue", "Vue", 0, 237, 0, 0, 0, 0, 14, 14, 265
"d:\征信git\data_center_page\data_center_page\src\views\manage\securityCenter\dataSecurityLevel.vue", "Vue", 0, 232, 0, 0, 0, 0, 3, 10, 245
"d:\征信git\data_center_page\data_center_page\src\views\manage\securityCenter\desensitizationRule.vue", "Vue", 0, 56, 0, 0, 0, 0, 1, 4, 61
"d:\征信git\data_center_page\data_center_page\src\views\manage\securityCenter\operationalAudit.vue", "Vue", 0, 103, 0, 0, 0, 0, 3, 6, 112
"d:\征信git\data_center_page\data_center_page\src\views\manage\securityCenter\sensitiveType.vue", "Vue", 0, 236, 0, 0, 0, 0, 4, 10, 250
"d:\征信git\data_center_page\data_center_page\test\e2e\custom-assertions\elementCount.js", "JavaScript", 18, 0, 0, 0, 0, 0, 8, 2, 28
"d:\征信git\data_center_page\data_center_page\test\e2e\nightwatch.conf.js", "JavaScript", 40, 0, 0, 0, 0, 0, 1, 6, 47
"d:\征信git\data_center_page\data_center_page\test\e2e\runner.js", "JavaScript", 33, 0, 0, 0, 0, 0, 8, 8, 49
"d:\征信git\data_center_page\data_center_page\test\e2e\specs\test.js", "JavaScript", 12, 0, 0, 0, 0, 0, 5, 3, 20
"d:\征信git\data_center_page\data_center_page\test\unit\jest.conf.js", "JavaScript", 27, 0, 0, 0, 0, 0, 3, 1, 31
"d:\征信git\data_center_page\data_center_page\test\unit\setup.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\征信git\data_center_page\data_center_page\test\unit\specs\HelloWorld.spec.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 1878, 19134, 2643, 20, 23298, 12, 1464, 828, 49277
